id|tweet|lat|lon|label|multilabel|check
1196320141312741376|#AlertMPK ul. Legnicka - ruch przywrócony. Tramwaje wracają na stałe trasy przejazdu.|51.118609|16.998341|fix||
1196314505015369729|"#AlertMPK - #TRAM
⚠ Ul. Legnicka/Kwiska>pl. Jana Pawła II - awaria tramwaju.
🚋 Tramwaje linii 3, 10, 20, 23, 33 zawracają przez Most Pomorski, Pomorską, Dubois, Most Sikorskiego.
🚋 Tramwaje linii 31 i 32 zawracają na Mostach Mieszczańskich."|51.125208|16.984064|malfunction||
1195370648530501633|#AlertMPK ul. Kosmonautów - ruch przywrócony. Tramwaje wracają na stałe trasy przejazdu.|51.14178|16.90683|fix||
1195369213709496328|"#AlertMPK - #TRAM
⚠ Ul. Kosmonautów - awaria tramwaju. 
🚋 Tramwaje linii 3, 10, 20 skrócono do pętli Pilczyce.
🚌 Uruchomiono autobusy ""za tramwaj"" w relacji Pilczyce - Leśnica."|51.14178|16.90683|malfunction||
1195310436763209728|#AlertMPK ul. Legnicka/Na Ostatnim Groszu- ruch przywrócony. Tramwaje wracają na stałe trasy przejazdu.|51.126768|16.979539|fix||
1195298959826280449|"#AlertMPK #TRAM
⚠️ ul. Legnicka/ Na ostatnim groszu - brak przejazdu z powodu wypadku bez udziału pojazdów MPK. 
🚋 Tramwaje skierowano ruchem wahadłowym w relacji Kozanów>Pilczyce. 
🚌 Uruchomiono autobusy ""za tramwaj"" w relacji Kwiska>Pilczyce."|51.126768|16.979539|accident||
1195267855304015872|#AlertMPK ul. Sienkiewicza - ruch przywrócony. Tramwaje wracają na stałe trasy przejazdu.|51.116274|17.055387|fix||
1195265634726227968|"#AlertMPK #TRAM
⚠️ ul. Sienkiewicza - brak przejazdu .
🚋 Tramwaje linii 9,17 skierowano objazdem przez pl. Bema, Jedności Narodowej, Nowowiejską, Piastowską w obu kierunkach. 
🚌 Uruchomiono autobusy ""za tramwaj""."|51.116274|17.055387|incident||
1195067042916962305|#AlertMPK ul. Robotnicza - ruch przywrócony. Autobusy wracają na stałe trasy przejazdu.|51.111595|17.001488|fix||
1195044732579254272|#AlertMPK ul. Piłsudskiego - ruch przywrócony. Tramwaje wracają na stałe trasy przejazdu.|51.103582|17.023123|fix||
1195034993074089984|"#AlertMPK - #TRAM
⚠ Ul. Piłsudskiego/Lelewela>Dworzec Główny - awaria tramwaju. 
🚋 Tramwaje linii 0L, 4, 5, 11, 15, 31, 32 skierowano objazdem przez Podwale, Świdnicką."|51.103582|17.023123|malfunction||
1195017872961085440|"#AlertMPK - #BUS
⚠ Akcja Straży Pożarnej na ul. Robotniczej (Dworzec Świebodzki). 
🚌 Autobusy linii 106, 148, 149 skierowano objazdem przez pl. Jana Pawła II, Legnicką."|51.10856|17.018314|incident||
1195006102825357312|#AlertMPK al. Różyckiego - ruch przywrócony. Tramwaje wracają na stałe trasy przejazdu.|51.116932|17.081705|fix||
1194955831772667904|"#AlertMPK #TRAM
⚠️ ul. Różyckiego>Sępolno - roboty torowe.
🚋 Tramwaje linii 33 jadą objazdem w relacji pl. Grunwaldzki>ZOO, tramwaje linii 9,17 przez Piastowską, Mickiewicza. 
🚌 Uruchomiono autobusy ""za tramwaj"" do Sępolna."|51.116932|17.081705|renovation||
1194903604974489600|#AlertMPK ul. Pomorska - ruch przywrócony. Tramwaje wracają n a stałe trasy przejazdu.|51.11974|17.031332|fix||
1194903366838689792|#AlertMPK pl. Jana Pawła II - ruch przywrócony. Tramwaje wracają na stałe trasy przejazdu.|51.111235|17.02269|fix||
1194886552905748481|"#AlertMPK #TRAM
⚠️ul. Pomorska>Centrum - brak przejazdu.
🚋 Tramwaje linii 0l, 14,15,24 skierowano objazdem przez Chrobrego, Drobnera. Linie 14,15 skierowano przez Most Uniwersytecki, ul. Grodzką. Linie 0l, 24 przez Dubois."|51.11974|17.031332|unknown||
1194881152789684225|"#AlertMPK #TRAM
⚠️ Plac Jana Pawła II>Biskupin - brak przejazdu. 
🚋 Ruch wahadłowy w relacji Pilczyce >Leśnica. 
🚌 Uruchomiono autobusy ""za tramwaj"" w relacji Pilczyce> pl. Jana Pawła II."|51.111235|17.02269|unknown||
1194658450879500288|"#AlertMPK - #TRAM
⚠📣 16.11.2019 - rozpoczęcie przebudowy układu torowego na skrzyżowaniu ulic: Sądowa i Podwale. Zmiany na liniach 🚋 4 i 15:  http://mpk.wroc.pl/content/107479-16112019r-przebudowa-ukladu-torowego-na-skrzyzowaniu-ulic-sadowa-i-podwale … pic.twitter.com/dcdXTxrmEA"|51.106671|17.024669|renovation||
1194321629624582145|"#AlertMPK - #BUS
⚠📣 15.11.2019 (od godz. 21:00) - rozpoczęcie budowy przyłącza wodociągowego na ul. Miłoszyckiej. Autobusy linii 118 🚌 będą kursowały objazdem przez ul. Mydlaną:  http://mpk.wroc.pl/content/107406-15112019r-budowa-przylacza-wodociagowego-w-ciagu-ulicy-miloszyckiej … pic.twitter.com/fcR2LlAmO2"|51.118995|17.122696|renovation||
1194289213761556481|"#AlertMPK - #BUS
⚠️🚍 Możliwe opóźnienia w kursowaniu komunikacji autobusowej z powodu natężenia ruchu drogowego."|||jam||
1194249521456390146|#AlertMPK pętla Biskupin - ruch przywrócony. Tramwaje wracają na swoje stałe trasy.|51.101026|17.109036|fix||
1194245664458379269|"#AlertMPK - #TRAM
⚠ Pętla Biskupin - pomoc medyczna dla pasażera. 
🚋 Tramwaje linii 1, 2, 4, 10 skrócono do pętli ZOO (ul. Kopernika). 
🚌 Uruchomiono autobusy ""za tramwaj"" w relacji pl. Grunwaldzki - Biskupin."|51.101026|17.109036|incident||
1194244384801394693|#AlertMPK pl. Wróblewskiego - ruch przywrócony. Tramwaje wracają na swoje stałe trasy.|51.105069|17.048205|fix||
1194242823320735745|"#AlertMPK - #TRAM
⚠ Pl. Wróblewskiego - pomoc medyczna dla pasażera.
🚋 Tramwaje linii 3 i 5 skrócono do pl. Społecznego. 
🚋 Tramwaje linii 0P i 16 skierowano objazdem przez Skargi, Kołłątaja."|51.105069|17.048205|incident||
1194184748282843138|"#AlertMPK - #BUS
⚠️ Brak przejazdu - ul. Zajączkowska - zablokowana jezdnia przez samochody ciężarowe. 
🚌 Autobusy linii 105 skrócono do pętli Kminkowa."|51.188697|16.978966|incident|incident, jam|https://gazetawroclawska.pl/drogowy-horror-na-polnocy-wroclawia-skrocono-trase-autobusow/ar/c1-14276019Samochód ciężarowy zablokował drogę I spowodował zator
1192886383582552064|"#AlertMPK - #TRAM - #BUS
Podczas trwania Biegu Niepodległości w dniu 11 listopada 2019 roku we Wrocławiu przewiduje się następujące zmiany w organizacji komunikacji zbiorowej, które zostaną wprowadzone po godzinie 16:00.
Więcej informacji:  https://www.facebook.com/notes/mpk-wroc%C5%82aw/i-bieg-niepodleg%C5%82o%C5%9Bci/2701120286616789/ … pic.twitter.com/kJOCLZkaM7"|||event|event, change|
1192818509073571842|"#AlertMPK - #TRAM
Realizacja zdjęć do filmu ""Dom pod Dwoma Orłami"" na Moście Piaskowym - w dniu 10.11.2019 r. (niedziela) w godzinach 14:00-24:00 planowane jest wprowadzenie zmiany tras linii tramwajowych 8, 9, 11, 17 i 23.
Więcej informacji:
 https://www.facebook.com/mpkwroc/photos/a.160780463984130/2700869569975194/?type=3&av=160358247359685&eav=AfaouU4cNAJ4AeW8pbs6MHuvyIXiN-mB6IC5oEpiWxuGOppPpCWvzX254lhTUMDuGqo&theater … pic.twitter.com/kAeE5ZuLZb"|51.113551|17.039795|event|event, change|
1192814828315971587|#AlertMPK ul. Szewska - ruch przywrócony. Tramwaje wracają na swoje stałe trasy.|51.112369|17.035669|fix||
1192808927135711233|"#AlertMPK - #TRAM
⚠️ Brak przejazdu - ul. Szewska - pomoc medyczna dla pasażera. 
🚋 Tramwaje linii 6>KOWALE, 7>POŚWIĘTNE skierowano objazdem przez Teatralną, Skargi, św. Katarzyny, Piaskową, Grodzką."|51.112369|17.035669|incident||
1192722137582391297|"#AlertMPK - #TRAM - #BUS
‼ W dniu 11.11.2019 w godz. 18:30-22:00 odbędzie się Marsz Narodowy. Możliwe utrudnienia w kursowaniu komunikacji miejskiej 🚌 🚋 na trasie: Dubois - M. Mieszczańskie - Wł. Jagiełły - Mostowa - M. Sikorskiego - Podwale - Legnicka (przy pl. Solidarności)."|||event||
1192529835228307456|"#AlertMPK - #TRAM
Wymiana rozjazdu w ciągu ulicy Piłsudskiego na wysokości budynku NOT - od wyjazdów porannych w dniu 9.11.2019 r. planowane jest wprowadzenie zmian w organizacji komunikacji zbiorowej dla linii: 0L, 2, 5, 11, 15, 31, 32.
Więcej informacji:  https://www.facebook.com/mpkwroc/photos/a.160780463984130/2699144690147682/?type=3&av=160358247359685&eav=AfZjbu3_A459J-gEy0MtEHngQDdFvzZTVl9cQV1EgtHoj6bLuOAoawVLr_u4fkxojws&theater … pic.twitter.com/nqJnUpz2EK"|51.100741|17.032048|renovation||
1192431006118240256|#AlertMPK ul. Żernicka - ruch przywrócony. Autobusy wracają na swoje stałe trasy.|51.122539|16.929611|fix||
1192420374039977985|"#AlertMPK - #BUS
⚠ Ul. Żernicka - brak przejazdu (akcja saperów). 
🚌 Autobusy linii 109, 148, 149, 609 skierowano objazdem przez Kołobrzeską, Hermanowską, Chociebuską."|51.122539|16.929611|incident||
1192410951947042816|#AlertMPK ul. Pułaskiego - ruch przywrócony. Tramwaje wracają na swoje stałe trasy.|51.09891|17.04444|fix||
1192403766085144576|"#AlertMPK - #TRAM
⚠ Ul. Pułaskiego>pl. Wróblewskiego - kolizja. 
🚋 Tramwaje linii 16 skierowano objazdem przez Glinianą, Dworzec Autobusowy, Peronową, Kołłątaja, Skargi.
🚋 Tramwaje linii 0L skierowano objazdem przez Kołłątaja, Skargi, pl. Dominikański."|51.09891|17.04444|accident||
1192343552891727872|#AlertMPK ul. Nowowiejska - ruch przywrócony. Tramwaje wracają na swoje stałe trasy.|51.121406|17.053699|fix||
1192337668526481410|"#AlertMPK - #TRAM
⚠ Ul. Nowowiejska/Jaracza>Poświętne - kolizja samochodu osobowego z tramwajem. 
🚋 Tramwaje linii 0L, 1 skierowano objazdem przez Sienkiewicza, pl. Bema, Jedności Narodowej, Słowiańską. 
🚌 Kursują autobusy ""za tramwaj"" w relacji pl. Grunwaldzki - Dw. Nadodrze."|51.121406|17.053699|accident||
1192320957035220992|#AlertMPK ul. Strachocińska - ruch przywrócony. Autobusy wracają na swoje stałe trasy.|51.11144|17.136562|fix||
